simulation_id,nclust,nts_per_clust,ntimepoints,nsr,signal,shift_amount
1,1,10,180,1,1.75,0
2,5,10,180,1,1.75,0
3,25,10,180,1,1.75,0
4,50,10,180,1,1.75,0
5,100,10,180,1,1.75,0
6,250,10,180,1,1.75,0
7,50,10,5,1,1.75,0
8,50,10,14,1,1.75,0
9,50,10,18,1,1.75,0
10,50,10,28,1,1.75,0
11,50,10,52,1,1.75,0
12,50,10,365,1,1.75,0
13,50,10,180,0.5,1.75,0
14,50,10,180,2,1.75,0
15,50,10,180,3,1.75,0
16,50,10,180,4,1.75,0
17,50,10,180,5,1.75,0
18,50,10,180,1,1,0
19,50,10,180,1,1.5,0
20,50,10,180,1,2,0
21,50,10,180,1,2.5,0
22,50,10,180,1,3,0
23,50,10,180,1,3.5,0
24,1,10,180,1,1.75,10
25,5,10,180,1,1.75,10
26,25,10,180,1,1.75,10
27,50,10,180,1,1.75,10
28,100,10,180,1,1.75,10
29,250,10,180,1,1.75,10
30,50,10,5,1,1.75,1
31,50,10,14,1,1.75,3
32,50,10,18,1,1.75,6
33,50,10,28,1,1.75,12
34,50,10,52,1,1.75,36
35,50,10,365,1,1.75,72
36,50,10,180,0.5,1.75,10
37,50,10,180,2,1.75,10
38,50,10,180,3,1.75,10
39,50,10,180,4,1.75,10
40,50,10,180,5,1.75,10
41,50,10,180,1,1,10
42,50,10,180,1,1.5,10
43,50,10,180,1,2,10
44,50,10,180,1,2.5,10
45,50,10,180,1,3,10
46,50,10,180,1,3.5,10
47,1,10,180,1,1.75,0
48,5,10,180,1,1.75,0
49,25,10,180,1,1.75,0
50,50,10,180,1,1.75,0
51,100,10,180,1,1.75,0
52,250,10,180,1,1.75,0
53,50,10,5,1,1.75,0
54,50,10,14,1,1.75,0
55,50,10,18,1,1.75,0
56,50,10,28,1,1.75,0
57,50,10,52,1,1.75,0
58,50,10,365,1,1.75,0
59,50,10,180,0.5,1.75,0
60,50,10,180,2,1.75,0
61,50,10,180,3,1.75,0
62,50,10,180,4,1.75,0
63,50,10,180,5,1.75,0
64,50,10,180,1,1,0
65,50,10,180,1,1.5,0
66,50,10,180,1,2,0
67,50,10,180,1,2.5,0
68,50,10,180,1,3,0
69,50,10,180,1,3.5,0
70,1,10,180,1,1.75,10
71,5,10,180,1,1.75,10
72,25,10,180,1,1.75,10
73,50,10,180,1,1.75,10
74,100,10,180,1,1.75,10
75,250,10,180,1,1.75,10
76,50,10,5,1,1.75,1
77,50,10,14,1,1.75,3
78,50,10,18,1,1.75,6
79,50,10,28,1,1.75,12
80,50,10,52,1,1.75,36
81,50,10,365,1,1.75,72
82,50,10,180,0.5,1.75,10
83,50,10,180,2,1.75,10
84,50,10,180,3,1.75,10
85,50,10,180,4,1.75,10
86,50,10,180,5,1.75,10
87,50,10,180,1,1,10
88,50,10,180,1,1.5,10
89,50,10,180,1,2,10
90,50,10,180,1,2.5,10
91,50,10,180,1,3,10
92,50,10,180,1,3.5,10
